product_id,product_name,brand,category,price_inr,best_for,avg_rating,positive_pct,negative_pct,high_issue_pct,recommendation_score,buy_recommendation,product_url,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,ram_gb,storage_gb,battery_mah,camera_mp,display,processor,network,gpu,capacity_l,power_w,control_type
PH001,Samsung Galaxy M35 5G,Samsung,Phone,17999,"Budget, Students, Daily Use",3.72,67,19.3,11.9,73.5,CONSIDER,https://www.samsung.com/in/smartphones/galaxy-m/galaxy-m35-5g/,https://tse1.mm.bing.net/th?q=Samsung+Galaxy+M35+5G+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=Samsung+Galaxy+M35+5G+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=Samsung+Galaxy+M35+5G+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=Samsung+Galaxy+M35+5G+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=Samsung+Galaxy+M35+5G+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,6,128,5000,50,6.6 FHD+ 120Hz,N-Core 6100,5G,,,,
PH002,OnePlus Nord CE4 Lite 5G,OnePlus,Phone,19999,"Battery, Multimedia, Students",3.77,69.9,18.3,11.4,75.1,BUY,https://www.oneplus.in/oneplus-nord-ce4-lite-5g,https://tse1.mm.bing.net/th?q=OnePlus+Nord+CE4+Lite+5G+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=OnePlus+Nord+CE4+Lite+5G+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=OnePlus+Nord+CE4+Lite+5G+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=OnePlus+Nord+CE4+Lite+5G+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=OnePlus+Nord+CE4+Lite+5G+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,8,128,5200,50,6.7 AMOLED 120Hz,Aster A7,5G,,,,
PH003,Motorola Edge 50 Fusion,Motorola,Phone,22999,"Value, Storage, Social Media",3.75,67.9,20.6,13.1,73.7,CONSIDER,https://www.motorola.in/smarthphones-motorola-edge-50-fusion/p,https://tse1.mm.bing.net/th?q=Motorola+Edge+50+Fusion+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=Motorola+Edge+50+Fusion+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=Motorola+Edge+50+Fusion+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=Motorola+Edge+50+Fusion+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=Motorola+Edge+50+Fusion+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,8,256,5000,64,6.67 AMOLED 120Hz,Z8 Gen Lite,5G,,,,
PH004,Nothing Phone (2a),Nothing,Phone,23999,"Camera, Daily Use, Value",3.86,71,17.3,12.3,76.4,BUY,https://in.nothing.tech/pages/phone-2a,https://tse1.mm.bing.net/th?q=Nothing+Phone+%282a%29+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=Nothing+Phone+%282a%29+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=Nothing+Phone+%282a%29+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=Nothing+Phone+%282a%29+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=Nothing+Phone+%282a%29+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,8,256,5100,64,6.6 AMOLED 120Hz,P-Core 820,5G,,,,
PH005,OnePlus Nord 4,OnePlus,Phone,29999,"Gaming, Performance, Display",3.95,75.9,14,8.6,79.6,BUY,https://www.oneplus.in/oneplus-nord-4,https://tse1.mm.bing.net/th?q=OnePlus+Nord+4+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=OnePlus+Nord+4+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=OnePlus+Nord+4+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=OnePlus+Nord+4+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=OnePlus+Nord+4+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,8,256,5000,50,6.7 OLED 144Hz,Orbit X9,5G,,,,
PH006,Samsung Galaxy A55 5G,Samsung,Phone,35999,"Camera, Creators, Social Media",3.87,74.1,16.4,11,77.8,BUY,https://www.samsung.com/in/smartphones/galaxy-a/galaxy-a55-5g/,https://tse1.mm.bing.net/th?q=Samsung+Galaxy+A55+5G+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=Samsung+Galaxy+A55+5G+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=Samsung+Galaxy+A55+5G+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=Samsung+Galaxy+A55+5G+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=Samsung+Galaxy+A55+5G+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,12,256,5000,108,6.78 AMOLED 120Hz,Vega V10,5G,,,,
PH007,Google Pixel 8a,Google,Phone,39999,"Gaming, Battery, Performance",3.97,76.9,16.4,10.9,79.6,BUY,https://store.google.com/in/product/pixel_8a,https://tse1.mm.bing.net/th?q=Google+Pixel+8a+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=Google+Pixel+8a+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=Google+Pixel+8a+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=Google+Pixel+8a+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=Google+Pixel+8a+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,12,256,5500,50,6.8 AMOLED 144Hz,Titan GX2,5G,,,,
PH008,Samsung Galaxy S24 FE,Samsung,Phone,49999,"Premium, Camera, Display",3.97,76.7,12.7,8.9,80.2,BUY,https://www.samsung.com/in/smartphones/galaxy-s/galaxy-s24-fe/,https://tse1.mm.bing.net/th?q=Samsung+Galaxy+S24+FE+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=Samsung+Galaxy+S24+FE+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=Samsung+Galaxy+S24+FE+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=Samsung+Galaxy+S24+FE+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=Samsung+Galaxy+S24+FE+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,12,256,5000,50,6.7 LTPO OLED 120Hz,Lumi L1 Pro,5G,,,,
PH009,OnePlus 13R,OnePlus,Phone,42999,"Flagship Camera, Performance, Premium",4.08,81.3,9.7,9.7,83.3,BUY,https://www.oneplus.in/oneplus-13r,https://tse1.mm.bing.net/th?q=OnePlus+13R+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=OnePlus+13R+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=OnePlus+13R+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=OnePlus+13R+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=OnePlus+13R+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,12,512,5200,200,6.8 LTPO AMOLED 120Hz,Apex A1 Ultra,5G,,,,
PH010,Samsung Galaxy Z Flip6,Samsung,Phone,89999,"Foldable, Productivity, Premium",3.96,74.9,14.3,11.6,79.1,BUY,https://www.samsung.com/in/smartphones/galaxy-z/galaxy-z-flip6/,https://tse1.mm.bing.net/th?q=Samsung+Galaxy+Z+Flip6+product+front&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse2.mm.bing.net/th?q=Samsung+Galaxy+Z+Flip6+product+back&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse3.mm.bing.net/th?q=Samsung+Galaxy+Z+Flip6+product+side&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse4.mm.bing.net/th?q=Samsung+Galaxy+Z+Flip6+official+product&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,https://tse1.mm.bing.net/th?q=Samsung+Galaxy+Z+Flip6+product+image&w=700&h=700&c=7&rs=1&p=0&dpr=1.5&pid=1.7&mkt=en-IN&adlt=moderate,12,512,4700,50,7.6 Foldable OLED 120Hz,Vertex V3 Elite,5G,,,,
